MEDIUM,0,37780,1,75029,2,51026,3,60764,4,69640,5,44198,6,45470,7,28476
MEDIUM,0,65422,1,126764,2,86340,3,106911,4,114901,5,75227,6,84127,7,55255
MEDIUM,0,83387,1,158563,2,110368,3,136387,4,144347,5,95326,6,113828,7,76032
MEDIUM,0,95647,1,177346,2,125922,3,153155,4,164683,5,108612,6,135413,7,94377
MEDIUM,0,107315,1,203255,2,139509,3,170269,4,178459,5,119319,6,150854,7,106777
MEDIUM,0,114056,1,216124,2,150854,3,181689,4,195233,5,126108,6,163578,7,118491
MEDIUM,0,118986,1,225104,2,157103,3,194344,4,204472,5,131755,6,174624,7,126952
MEDIUM,0,123641,1,229647,2,163265,3,201813,4,210008,5,139054,6,182271,7,135953
MEDIUM,0,128192,1,234862,2,166775,3,207455,4,217225,5,141358,6,191940,7,141946
MEDIUM,0,129653,1,239476,2,169761,3,210916,4,221309,5,145454,6,197836,7,146578
MEDIUM,0,132987,1,244100,2,174090,3,217225,4,227505,5,148750,6,201455,7,150721
MEDIUM,0,135306,1,246390,2,179397,3,222753,4,231674,5,150588,6,208469,7,153431
MEDIUM,0,139168,1,256770,2,182857,3,225550,4,235024,5,152199,6,212227,7,158563
MEDIUM,0,143377,1,262901,2,186861,3,231831,4,237146,5,154402,6,215988,7,159154
MEDIUM,0,149663,1,274751,2,196356,3,238139,4,241680,5,156527,6,218616,7,164524
MEDIUM,0,150455,1,271906,2,196018,3,240827,4,246390,5,159750,6,221453,7,167265
MEDIUM,0,156240,1,284840,2,204228,3,246035,4,250550,5,161107,6,221597,7,168921
MEDIUM,0,158858,1,287478,2,207707,3,250000,4,254283,5,164049,6,228571,7,171812
MEDIUM,0,157538,1,285316,2,207961,3,249817,4,253528,5,165481,6,231360,7,174982
MEDIUM,0,162798,1,295441,2,213555,3,254663,4,256384,5,167758,6,231517,7,176066
MEDIUM,0,162179,1,293157,2,213957,3,256000,4,258912,5,168089,6,234217,7,178459
MEDIUM,0,160501,1,290909,2,212624,3,255234,4,257545,5,169256,6,235510,7,179775
MEDIUM,0,157975,1,288207,2,211570,3,251658,4,258912,5,168921,6,239140,7,180154
MEDIUM,0,159006,1,287721,2,213689,3,250734,4,259503,5,167923,6,237146,7,181110
MEDIUM,0,159303,1,283656,2,210786,3,252590,4,262093,5,169424,6,238805,7,178833
MEDIUM,0,161718,1,288450,2,213422,3,252216,4,264121,5,168921,6,237807,7,180535
